id,name,gender,language,country,emotions,model_name,image_link,voice_preview_link,user_id,clone_details,speaker_type
0,Mary,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_0.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio0.wav,"",,public
1,Jennifer,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_1.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio1.wav,"",,public
2,John,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_2.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio2.wav,"",,public
3,Linda,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_3.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio3.wav,"",,public
4,Michael,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_4.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio4.wav,"",,public
5,Dave,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_5.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio5.wav,"",,public
6,James,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_6.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio6.wav,"",,public
7,Rob,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_7.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio7.wav,"",,public
8,William,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_8.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio8.wav,"",,public
9,Jose,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_9.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio9.wav,"",,public
10,Charles,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_10.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio10.wav,"",,public
11,Tom,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_11.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio11.wav,"",,public
12,Patricia,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_12.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio12.wav,"",,public
13,Daniel,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_13.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio13.wav,"",,public
14,Matt,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_14.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio14.wav,"",,public
15,Elizabeth,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_15.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio15.wav,"",,public
16,Chris,M,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_16.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio16.wav,"",,public
17,Susan,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_17.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio17.wav,"",,public
18,Jessica,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_18.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio18.wav,"",,public
19,Sarah,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_19.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio19.wav,"",,public
20,Karen,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_20.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio20.wav,"",,public
21,Nancy,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_21.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio21.wav,"",,public
22,Lisa,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_22.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio22.wav,"",,public
23,Betty,F,en,us,{Neutral},VITS_VCTK,https://vaux-contents.s3.us-east-2.amazonaws.com/profile_images/avatar_23.png, https://vaux-contents.s3.us-east-2.amazonaws.com/voice_preview/output_audio23.wav,"",,public
